Species	flagellar_proteins	No_of_proteins
Abiotrophia defectiva strain FDAARGOS_785 strain Not applicable 	flgJ,fliA,fliI,fliY,flrA,flrC,rpoD,rpoN	8
Absiella sp. 9CBEGH2 	fliA,fliI,fliY,flrA,flrC,rpoD,rpoN	7
Abyssogena phaseoliformis symbiont OG214 	fliI,flrA,flrC,motA,motX,motY,rpoD	7
Acanthopleuribacteraceae bacterium M133 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	42
Acaryochloris marina MBIC11017 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acaryochloris marina S15 	flgD,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	13
Acaryochloris sp. 'Moss Beach' 	flgD,flgT,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	12
Acetobacteraceae bacterium G55GP 	fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	10
Acetobacteraceae bacterium strain 868 	fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	9
Acetobacter aceti strain JCM20276 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliJ,fliL,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	37
Acetobacter ghanensis strain LMG 23848T 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	38
Acetobacterium sp. KB-1 	flgA,flgB,flgC,flgD,flgE,flgG,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	36
Acetobacterium woodii DSM 1030 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	36
Acetobacter pasteurianus 386B 	fliA,fliI,fliK,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Acetobacter pasteurianus IFO 3283-01-42C 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus IFO 3283-01 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus IFO 3283-03 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus IFO 3283-07 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus IFO 3283-12 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus IFO 3283-22 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus IFO 3283-26 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
