Steppingstone sampler:
        No Stones:                  100
        Start It:                   5000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-24.121722	-24.121722
1	0.950747	750	-23.766111	-47.887833
2	0.926679	750	-23.397636	-71.285468
3	0.902980	750	-23.044286	-94.329755
4	0.879648	750	-22.691615	-117.021370
5	0.856682	750	-22.334245	-139.355616
6	0.834079	750	-21.988392	-161.344008
7	0.811838	750	-21.644384	-182.988392
8	0.789957	750	-21.299522	-204.287914
9	0.768433	750	-20.937803	-225.225716
10	0.747266	750	-20.592308	-245.818024
11	0.726452	750	-20.241754	-266.059778
12	0.705989	750	-19.910045	-285.969823
13	0.685877	750	-19.570756	-305.540579
14	0.666112	750	-19.228270	-324.768850
15	0.646693	750	-18.898491	-343.667341
16	0.627618	750	-18.572327	-362.239668
17	0.608884	750	-18.235245	-380.474913
18	0.590490	750	-17.905412	-398.380325
19	0.572433	750	-17.580823	-415.961147
20	0.554712	750	-17.259037	-433.220185
21	0.537324	750	-16.931026	-450.151210
22	0.520268	750	-16.615303	-466.766513
23	0.503540	750	-16.307621	-483.074134
24	0.487139	750	-15.980204	-499.054338
25	0.471063	750	-15.658625	-514.712963
26	0.455310	750	-15.354317	-530.067280
27	0.439877	750	-15.042548	-545.109829
28	0.424762	750	-14.734760	-559.844589
29	0.409963	750	-14.431996	-574.276585
30	0.395478	750	-14.119960	-588.396545
31	0.381305	750	-13.827560	-602.224105
32	0.367440	750	-13.542331	-615.766435
33	0.353883	750	-13.223166	-628.989601
34	0.340630	750	-12.939265	-641.928866
35	0.327680	750	-12.658250	-654.587117
36	0.315030	750	-12.353879	-666.940995
37	0.302677	750	-12.072034	-679.013029
38	0.290619	750	-11.796215	-690.809244
39	0.278855	750	-11.508210	-702.317454
40	0.267381	750	-11.238609	-713.556063
41	0.256195	750	-10.937587	-724.493650
42	0.245294	750	-10.680394	-735.174045
43	0.234677	750	-10.400254	-745.574298
44	0.224340	750	-10.122745	-755.697043
45	0.214281	750	-9.851494	-765.548537
46	0.204498	750	-9.587959	-775.136496
47	0.194988	750	-9.337233	-784.473729
48	0.185749	750	-9.082441	-793.556171
49	0.176777	750	-8.805260	-802.361431
50	0.168070	750	-8.569242	-810.930673
51	0.159626	750	-8.297805	-819.228478
52	0.151441	750	-8.073114	-827.301592
53	0.143514	750	-7.791547	-835.093139
54	0.135841	750	-7.560710	-842.653850
55	0.128420	750	-7.313045	-849.966895
56	0.121247	750	-7.063496	-857.030391
57	0.114320	750	-6.836773	-863.867164
58	0.107637	750	-6.619289	-870.486453
59	0.101193	750	-6.379710	-876.866163
60	0.094986	750	-6.176594	-883.042758
61	0.089014	750	-5.926456	-888.969214
62	0.083273	750	-5.713467	-894.682681
63	0.077760	750	-5.490962	-900.173643
64	0.072472	750	-5.270999	-905.444642
65	0.067406	750	-5.089557	-910.534200
66	0.062558	750	-4.890248	-915.424448
67	0.057926	750	-4.646757	-920.071204
68	0.053506	750	-4.490005	-924.561209
69	0.049295	750	-4.295119	-928.856328
70	0.045289	750	-4.096380	-932.952708
71	0.041485	750	-3.905160	-936.857868
72	0.037880	750	-3.761877	-940.619745
73	0.034469	750	-3.588896	-944.208640
74	0.031250	750	-3.378084	-947.586724
75	0.028218	750	-3.186197	-950.772922
76	0.025370	750	-3.036409	-953.809330
77	0.022702	750	-2.884359	-956.693690
78	0.020209	750	-2.696284	-959.389974
79	0.017889	750	-2.561971	-961.951945
80	0.015736	750	-2.427928	-964.379873
81	0.013746	750	-2.247912	-966.627784
82	0.011916	750	-2.119949	-968.747733
83	0.010240	750	-2.018829	-970.766562
84	0.008714	750	-1.879626	-972.646188
85	0.007334	750	-1.813732	-974.459920
86	0.006093	750	-1.693989	-976.153909
87	0.004988	750	-1.600316	-977.754225
88	0.004013	750	-1.487151	-979.241376
89	0.003162	750	-1.266696	-980.508072
90	0.002430	750	-1.252581	-981.760653
91	0.001810	750	-1.131019	-982.891672
92	0.001296	750	-0.981670	-983.873341
93	0.000882	750	-0.878205	-984.751546
94	0.000559	750	-0.788661	-985.540207
95	0.000320	750	-0.601528	-986.141735
96	0.000156	750	-0.474713	-986.616448
97	0.000057	750	-0.300501	-986.916949
98	0.000010	750	-0.147813	-987.064762
99	0.000000	750	-0.033497	-987.098259
Log marginal likelihood:	-987.098259
