"posterior_row","iteration","tree_no","map_within_draw","total_changes","q12","q13","q21","q24","q31","q34","q42","q43"
1,301000,1,1,1567,25,104,220,6,235,386,103,488
2,302000,1,1,1606,48,101,151,2,260,366,80,598
3,303000,1,1,1588,43,93,167,6,239,379,112,549
4,304000,1,1,1674,23,101,186,4,249,387,100,624
5,305000,1,1,1777,54,93,135,12,273,442,73,695
6,306000,1,1,1593,37,100,200,8,225,393,122,508
7,307000,1,1,1581,31,94,205,1,242,352,108,548
8,308000,1,1,1823,32,111,154,6,267,512,95,646
9,309000,1,1,1520,48,96,112,7,282,319,75,581
10,310000,1,1,1531,45,85,198,5,222,391,114,471
11,311000,1,1,1577,33,100,173,2,249,398,92,530
12,312000,1,1,1642,43,91,157,2,249,406,99,595
13,313000,1,1,1602,39,94,182,0,249,368,97,573
14,314000,1,1,1378,29,92,168,4,242,274,87,482
15,315000,1,1,1611,60,98,146,0,256,413,79,559
16,316000,1,1,1526,58,99,208,2,282,286,92,499
17,317000,1,1,1452,13,97,203,2,204,352,128,453
18,318000,1,1,1564,23,81,181,4,248,342,99,586
19,319000,1,1,1575,22,80,191,6,239,356,109,572
20,320000,1,1,1634,33,81,193,6,244,364,87,626
21,321000,1,1,1851,22,115,168,4,245,532,89,676
22,322000,1,1,1704,34,101,186,4,248,432,98,601
23,323000,1,1,1632,19,109,204,4,235,380,120,561
24,324000,1,1,1699,51,108,169,3,252,415,91,610
25,325000,1,1,1629,44,96,167,4,249,440,104,525
26,326000,1,1,1679,31,81,172,8,248,374,102,663
27,327000,1,1,1532,25,80,183,8,228,344,111,553
28,328000,1,1,1469,32,99,202,8,239,325,103,461
29,329000,1,1,1548,38,93,145,1,246,330,90,605
30,330000,1,1,1583,33,104,225,3,224,334,112,548
31,331000,1,1,1700,28,101,231,3,218,409,126,584
32,332000,1,1,1650,22,104,144,7,278,373,83,639
33,333000,1,1,1630,37,101,160,10,235,405,104,578
34,334000,1,1,1667,27,94,153,5,278,421,84,605
35,335000,1,1,1565,28,100,203,6,250,346,112,520
36,336000,1,1,1546,21,86,140,3,271,375,81,569
37,337000,1,1,1649,25,99,231,6,236,411,121,520
38,338000,1,1,1534,25,95,210,7,224,314,123,536
39,339000,1,1,1537,27,99,154,6,253,381,83,534
40,340000,1,1,1679,35,93,204,3,255,378,107,604
41,341000,1,1,1672,25,103,190,3,246,392,98,615
42,342000,1,1,1727,10,91,204,4,232,465,117,604
43,343000,1,1,1596,60,110,185,4,257,335,96,549
44,344000,1,1,1638,39,111,178,2,235,416,103,554
45,345000,1,1,1575,21,93,181,1,244,385,106,544
46,346000,1,1,1821,36,90,150,0,255,530,97,663
47,347000,1,1,1501,30,99,208,5,235,296,118,510
48,348000,1,1,1524,43,98,170,4,239,333,80,557
49,349000,1,1,1607,39,93,166,7,260,385,84,573
50,350000,1,1,1599,52,93,163,9,230,420,100,532
51,351000,1,1,1645,32,96,187,1,253,433,89,554
52,352000,1,1,1618,48,104,125,0,260,418,80,583
53,353000,1,1,1566,47,108,178,3,266,323,95,546
54,354000,1,1,1618,36,94,188,4,244,386,111,555
55,355000,1,1,1753,41,86,160,2,227,459,104,674
56,356000,1,1,1460,31,112,159,4,268,310,81,495
57,357000,1,1,1611,17,101,173,8,229,402,107,574
58,358000,1,1,1523,27,107,190,1,226,342,105,525
59,359000,1,1,1576,28,105,195,7,229,351,118,543
60,360000,1,1,1684,19,100,199,6,242,425,113,580
61,361000,1,1,1599,38,89,166,5,266,362,96,577
62,362000,1,1,1710,37,109,175,16,246,432,107,588
63,363000,1,1,1805,21,100,206,2,242,469,98,667
64,364000,1,1,1778,68,90,195,0,231,469,100,625
65,365000,1,1,1662,43,89,163,2,251,410,85,619
66,366000,1,1,1632,56,102,235,5,245,307,117,565
67,367000,1,1,1627,51,81,164,1,252,401,88,589
68,368000,1,1,1469,12,98,201,0,244,319,106,489
69,369000,1,1,1584,47,87,186,1,244,366,105,548
70,370000,1,1,1539,29,97,186,4,238,343,104,538
71,371000,1,1,1821,11,112,224,1,231,448,124,670
72,372000,1,1,1501,46,96,198,3,257,270,89,542
73,373000,1,1,1601,34,106,197,2,236,382,102,542
74,374000,1,1,1432,31,91,183,1,231,309,105,481
75,375000,1,1,1519,25,88,206,1,243,291,99,566
76,376000,1,1,1601,35,115,173,1,257,371,96,553
77,377000,1,1,1582,21,93,176,7,246,389,92,558
78,378000,1,1,1652,24,110,193,3,251,409,113,549
79,379000,1,1,1549,40,87,150,2,263,355,99,553
80,380000,1,1,1615,60,100,221,2,251,339,101,541
81,381000,1,1,1833,17,108,189,0,249,487,101,682
82,382000,1,1,1621,23,90,212,3,233,369,106,585
83,383000,1,1,1544,66,108,146,3,263,355,69,534
84,384000,1,1,1548,16,99,199,4,227,371,113,519
85,385000,1,1,1547,43,83,174,7,251,351,124,514
86,386000,1,1,1862,14,93,182,2,241,535,103,692
87,387000,1,1,1649,29,102,188,1,244,409,87,589
88,388000,1,1,1666,41,100,214,2,241,408,103,557
89,389000,1,1,1799,19,99,171,4,268,461,89,688
90,390000,1,1,1429,50,94,157,8,277,283,91,469
91,391000,1,1,1735,38,101,181,6,227,442,118,622
92,392000,1,1,1464,30,99,171,2,278,324,88,472
93,393000,1,1,1535,15,92,182,8,234,353,113,538
94,394000,1,1,1560,38,96,133,7,264,356,90,576
95,395000,1,1,1536,61,101,207,2,246,309,97,513
96,396000,1,1,1604,38,107,163,5,251,366,102,572
97,397000,1,1,1675,25,99,176,6,240,414,99,616
98,398000,1,1,1567,32,90,154,3,272,370,85,561
99,399000,1,1,1752,28,100,200,0,238,432,114,640
100,400000,1,1,1619,38,83,188,2,243,440,93,532
101,401000,1,1,1507,49,103,192,6,261,333,84,479
102,402000,1,1,1611,7,86,207,1,234,434,116,526
103,403000,1,1,1542,37,96,185,6,257,321,91,549
104,404000,1,1,1619,42,89,151,8,232,439,104,554
105,405000,1,1,1694,46,102,216,2,254,383,94,597
106,406000,1,1,1621,35,90,131,8,273,381,94,609
107,407000,1,1,1787,43,104,202,9,247,448,108,626
108,408000,1,1,1708,59,111,241,7,230,371,113,576
109,409000,1,1,1523,37,104,146,13,270,339,93,521
110,410000,1,1,1769,63,117,205,14,216,451,124,579
111,411000,1,1,1621,22,91,208,4,217,389,111,579
112,412000,1,1,1598,44,102,195,3,237,376,109,532
113,413000,1,1,1403,50,101,138,4,242,302,94,472
114,414000,1,1,1820,52,103,173,11,251,479,101,650
115,415000,1,1,1766,35,91,188,5,239,492,118,598
116,416000,1,1,1554,68,94,185,1,247,326,105,528
117,417000,1,1,1700,38,93,182,2,268,429,86,602
118,418000,1,1,1664,49,86,171,9,257,375,76,641
119,419000,1,1,1504,46,119,180,4,247,321,95,492
120,420000,1,1,1913,36,95,181,7,219,557,120,698
121,421000,1,1,1413,17,107,214,3,223,270,118,461
122,422000,1,1,1512,20,107,173,3,245,327,91,546
123,423000,1,1,1557,55,107,138,6,247,363,85,556
124,424000,1,1,1799,25,76,221,5,238,493,109,632
125,425000,1,1,1857,30,109,224,9,257,460,112,656
126,426000,1,1,1735,39,81,161,2,251,439,100,662
127,427000,1,1,1578,43,104,167,4,261,357,92,550
128,428000,1,1,1620,23,93,192,3,245,404,99,561
129,429000,1,1,1586,44,99,199,3,246,370,86,539
130,430000,1,1,1725,57,91,170,1,261,415,92,638
131,431000,1,1,1706,85,86,220,4,234,365,102,610
132,432000,1,1,1538,36,105,204,4,236,333,104,516
133,433000,1,1,1650,38,107,167,5,235,417,108,573
134,434000,1,1,1611,52,88,208,13,204,354,135,557
135,435000,1,1,1427,39,99,154,5,240,313,89,488
136,436000,1,1,1532,28,99,161,10,261,363,97,513
137,437000,1,1,1591,29,81,147,2,284,386,88,574
138,438000,1,1,1534,20,104,215,6,222,303,119,545
139,439000,1,1,1659,33,90,192,19,241,393,113,578
140,440000,1,1,1546,19,95,138,7,266,369,91,561
141,441000,1,1,1444,7,94,189,6,254,303,95,496
142,442000,1,1,1696,29,96,207,3,235,426,100,600
143,443000,1,1,1533,45,102,177,2,268,333,85,521
144,444000,1,1,1498,31,106,170,4,244,295,97,551
145,445000,1,1,1603,26,93,163,8,256,380,103,574
146,446000,1,1,1526,23,96,176,2,244,358,103,524
147,447000,1,1,1649,17,104,186,7,235,448,117,535
148,448000,1,1,1726,13,112,207,7,232,410,111,634
149,449000,1,1,1557,50,79,159,6,260,364,97,542
150,450000,1,1,1672,52,98,164,6,275,419,80,578
151,451000,1,1,1626,22,89,181,2,245,384,100,603
152,452000,1,1,1649,34,104,181,2,237,430,99,562
