"posterior_row","iteration","tree_no","map_within_draw","time_00","time_01","time_10","time_11"
1,301000,1,1,362.105669580909,34.9578843030268,297.145646408495,82.2449497075688
2,302000,1,1,366.859190184221,26.5195767256922,291.446014211079,91.6293688790078
3,303000,1,1,357.515392790448,29.4362031137485,298.573036847438,90.929517248365
4,304000,1,1,359.743502122239,33.8951424951745,290.987974686401,91.8275306961858
5,305000,1,1,370.734883815764,26.4840098493335,289.253465745273,89.9817905896302
6,306000,1,1,364.840849222632,31.5707260401105,299.065826149867,80.9767485873904
7,307000,1,1,358.822109062206,34.1188117746761,292.53899890861,90.9742302545079
8,308000,1,1,361.408557458522,31.6108196343958,300.154954405502,83.279818501581
9,309000,1,1,366.025394009732,23.4276687910544,293.882081081979,93.1190061172346
10,310000,1,1,363.293210670252,31.9375537873092,299.984672208196,81.2387133342432
11,311000,1,1,365.995744872462,30.9648890204971,296.242686145137,83.2508299619037
12,312000,1,1,361.000326843264,30.7043768879537,291.949339716939,92.800106551843
13,313000,1,1,356.95818990654,30.9438511816154,294.200073527588,94.3520353842567
14,314000,1,1,359.028410304473,34.5956064694889,298.41072098123,84.4194122448079
15,315000,1,1,370.164870957111,24.9969461237695,297.190214133428,84.1021187856918
16,316000,1,1,356.536280030764,32.6893560471875,302.121100320927,85.1074136011215
17,317000,1,1,364.477006488117,30.4087207484632,296.256814387032,85.3116083763884
18,318000,1,1,358.961865098684,30.7236021769131,293.63604475181,93.1326379725929
19,319000,1,1,361.6763439832,30.789520197618,290.377907714843,93.6103781043381
20,320000,1,1,356.228239456282,36.2778150381285,287.370082246271,96.5780132593177
21,321000,1,1,363.94428383126,33.9736123114601,293.558802510699,84.9774513465816
22,322000,1,1,360.638267612896,33.1271544918772,294.658784012998,88.0299438822293
23,323000,1,1,356.789414616635,33.8152252727849,295.162393144432,90.6871169661482
24,324000,1,1,367.653444199974,28.1776150840623,293.102047480406,87.5210432355579
25,325000,1,1,369.973484537983,26.7447383513121,298.91775573776,80.8181713729445
26,326000,1,1,359.580897204373,31.9203802314965,279.971011105719,104.981861458412
27,327000,1,1,360.006920782614,31.3179480783214,291.861177517527,93.2681036215378
28,328000,1,1,363.71600238823,33.7755695105193,298.262987007619,80.6995910936322
29,329000,1,1,367.241641468716,29.25304366133,274.226903325935,105.73256154402
30,330000,1,1,357.341514517048,37.4338543316179,287.60216864313,94.0766125082044
31,331000,1,1,355.396495801945,39.2876485020593,285.145562572973,96.6244431230229
32,332000,1,1,360.107197494474,30.116040858157,286.508698770327,99.7222128770419
33,333000,1,1,369.966397961689,30.9511432334935,286.821759054381,88.7148497504365
34,334000,1,1,356.252797064648,28.9844109476225,301.396303053905,89.8206389338243
35,335000,1,1,356.508777516121,35.7520685489139,292.236488839914,91.9568150950508
36,336000,1,1,358.127355705709,34.7658519790089,301.071500685156,82.4894416301256
37,337000,1,1,350.344259119792,40.867510405415,304.002258472828,81.2401220019644
38,338000,1,1,358.30327501859,35.357994765718,280.723702389939,102.069177825752
39,339000,1,1,362.501724341319,29.1896894814374,296.001428404343,88.7613077729014
40,340000,1,1,352.808982859631,32.1601395271743,293.341760714373,98.1432668988218
41,341000,1,1,359.915104659511,39.1415853561988,284.091287187948,93.3061727963422
42,342000,1,1,355.252496954576,37.5474982431523,296.223393794286,87.4307610079856
43,343000,1,1,364.177244382737,31.6551918208979,290.603008419558,90.0187053768065
44,344000,1,1,373.40488861319,28.7628563742017,293.53785322637,80.7485517862386
45,345000,1,1,358.61567390768,34.2740648072996,298.210849423209,85.3535618618122
46,346000,1,1,362.98361694311,25.4222496988348,299.434449351467,88.6138340065884
47,347000,1,1,361.740233787508,34.9372721262858,288.523886312491,91.2527577737153
48,348000,1,1,371.845691932619,30.9409972990816,287.153001649361,86.5144591189381
49,349000,1,1,364.227064305171,28.3987761821884,295.753718948401,88.0745905642394
50,350000,1,1,364.828631756826,29.7640907058074,300.138185842528,81.7232416948386
51,351000,1,1,359.091199554946,32.3757853937953,299.879607507199,85.1075575440603
52,352000,1,1,367.403041019675,22.393149240946,301.362072224009,85.2958875153698
53,353000,1,1,363.954021671168,30.4639373278306,283.704606607143,98.3315843938575
54,354000,1,1,360.092736597629,31.9883622500343,297.742460855386,86.630590296951
55,355000,1,1,364.807801888573,27.6846781864992,289.032691615522,94.9289783094051
56,356000,1,1,362.055762111874,32.3200653062484,296.476533579453,85.6017890024243
57,357000,1,1,368.293646716733,32.7924544598426,289.700770693,85.6672781304252
58,358000,1,1,358.390879349358,33.2908317296892,296.321326481935,88.4511124390176
59,359000,1,1,365.476730493721,34.8654236063104,283.477485035983,92.6345108639849
60,360000,1,1,352.876783868484,33.3386863894012,298.106784408616,92.1318953334993
61,361000,1,1,363.220577028551,31.6830311836488,291.585973853464,89.9645679343363
62,362000,1,1,362.602042684921,32.733673135356,295.187058615711,85.9313755640122
63,363000,1,1,352.563656002639,36.0265768328342,290.639019692324,97.2248974722036
64,364000,1,1,369.551088097264,26.7991563323178,293.656846995116,86.4470585753023
65,365000,1,1,356.985344259485,27.7383614410434,304.621257116918,87.109187182553
66,366000,1,1,356.061285307879,33.6267474975772,293.176620830859,93.589496363685
67,367000,1,1,366.036459052417,28.4826106448157,292.334747985702,89.6003323170653
68,368000,1,1,360.996242925817,31.5404388747798,296.207652881348,87.7098153180556
69,369000,1,1,361.654277956523,32.1268877818138,293.231942899401,89.4410413622624
70,370000,1,1,359.751430417049,34.9974556952198,290.742616303164,90.9626475845681
71,371000,1,1,346.755441394185,38.5601388049914,290.593976178174,100.544593622649
72,372000,1,1,359.179831528904,34.9227065652804,285.665227959032,96.6863839467839
73,373000,1,1,359.334535766054,33.5763335546714,294.980864504349,88.562416174925
74,374000,1,1,361.118343214424,31.7243254048252,296.371531669571,87.2399497111802
75,375000,1,1,359.696071401538,33.8787598388619,286.255960244673,96.6233585149273
76,376000,1,1,360.221976623332,30.9759714661761,293.60093750843,91.6552644020621
77,377000,1,1,365.151076989638,34.5643052911343,288.344277386259,88.3944903329684
78,378000,1,1,359.439269082523,34.1223650683815,294.868475958612,88.0240398904838
79,379000,1,1,360.466884708463,24.963475748686,299.718451337072,91.3053382057796
80,380000,1,1,357.952861560661,33.3023138882787,293.99340194715,91.2055726039099
81,381000,1,1,361.215068329937,35.6216835657525,284.463914802103,95.1534833022078
82,382000,1,1,356.9354413347,34.1584631444539,292.852180340995,92.5080651798502
83,383000,1,1,378.596988104211,25.6352406590085,288.251334959353,83.970586277428
84,384000,1,1,359.332898485658,34.7577342348375,296.549321937408,85.8141953420967
85,385000,1,1,353.001190869046,27.6912285677025,307.285917702695,88.4758128605572
86,386000,1,1,359.181468137008,32.6868830976844,292.06779618752,92.5180025777876
87,387000,1,1,365.273872943715,35.1695027640177,291.799028857528,84.2117454347389
88,388000,1,1,356.980893576768,33.43051639054,297.6547834294,88.3879566032927
89,389000,1,1,356.650683131478,32.2781333893445,295.461022203433,92.0643112757444
90,390000,1,1,365.260967553757,25.0464324056573,298.90425781739,87.2424922231957
91,391000,1,1,363.215405930948,30.7218696133279,294.571382838459,87.9454916172657
92,392000,1,1,363.20800094265,29.5801228880775,300.413888932255,83.252137237017
93,393000,1,1,359.034816787922,32.3598460301235,290.83134316881,94.228144013145
94,394000,1,1,365.333676254894,25.3501728605936,295.244695083194,90.5256058013186
95,395000,1,1,362.483741319762,33.2511131621264,292.245969937613,88.4733255804985
96,396000,1,1,359.986625465415,28.3282556993674,298.004459009146,90.1348098260724
97,397000,1,1,361.773907163514,32.6832348131941,288.094254460765,93.9027535625269
98,398000,1,1,353.214013675186,29.8587955137088,301.62411034158,91.7572304695253
99,399000,1,1,356.958983644356,34.0444007078749,288.023588438155,97.4271772096148
100,400000,1,1,362.494542897548,32.3333514413759,300.91106451002,80.7151911510556
101,401000,1,1,364.442565951497,34.4686495219675,297.80165592149,79.741278605046
102,402000,1,1,356.073501739035,32.9618048059213,307.131780304431,80.2870631506124
