Species	Bacteriocin	Count
Mycobacterium_tuberculosis_PanR0402	Gallidermin,Linocin_M18	2
Halalkalicoccus_jeotgali_B3	Linocin_M18	1
Mycobacterium_rufum_JCM_16372	Bacteriocin_IIc,Linocin_M18	2
Pseudobutyrivibrio_xylanivorans_strain_MA3014	LE-LAC481	1
Bdellovibrio_sp._KM01	Bacteriocin_IIi	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20130347	Bacteriocin_IIc	1
Natronolimnobius_sp._AArc-Mg	Bacteriocin_IIc,Linocin_M18	2
Rhizobium_binae_strain_BLR195	Bacteriocin_IIc,Bacteriocin_IId	2
Synechocystis_sp._PCC_6803_substr._GT-I	ggmotif	1
Vibrio_kanaloae_KH-4	Bacteriocin_IIc	1
Nitrosomonadales_bacterium_Swamp67	Bacteriocin_IId,ggmotif	2
Gluconobacter_oxydans_H24	ggmotif,Linocin_M18	2
Anaerocolumna_sp._CBA3638	Linocin_M18	1
Xanthomonas_hortorum_pv._vitians_strain_CFBP_498	ggmotif	1
Klebsiella_sp._MPUS7	Bacteriocin_IIc,ggmotif,LE-DUF	3
Raoultibacter_timonensis_CE91-St30	Linocin_M18	1
Micromonosporaceae_bacterium_DSM_106523	LE-DUF	1
Dyadobacter_sp._NIV53	Bacteriocin_IIc,Bacteriocin_IId	2
Salmonella_enterica_subsp._diarizonae_serovar_61:k:1,5,(7)_strain_14-SA00836-0	Bacteriocin_IIc	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094301	Bacteriocin_IIc	1
Bacillus_thuringiensis_serovar_thuringiensis_str._IS5056	Antimicrobial18,Bacteriocin_IId,L_biotic_typeA,Mersacidin	4
Corynebacterium_glutamicum_ATCC_13032	Antimicrobial17,LE-LAC481	2
Lelliottia_amnigena_A167	Bacteriocin_IIc,LE-LAC481	2
Xanthomonas_campestris_strain_17	ggmotif	1
Exiguobacterium_alkaliphilum_strain_B-3531D	LE-LanBC	1
Neisseria_meningitidis_FAM18	ggmotif,leaderLanBC	2
Pasteurella_multocida_subsp._gallicida_P1059	ComC	1
Salmonella_enterica_subsp._enterica_serovar_Tennessee_21-SA00318-0	Bacteriocin_IIc	1
Halomonas_chromatireducens_strain_AGD_8-3	Bacteriocin_IIc	1
Rhizobium_sp._Khangiran2	Bacteriocin_IIc	1
Rickettsiales_endosymbiont_of_Stachyamoeba_lipophora_strain_RICK01	Bacteriocin_IIc	1
Cardinium_endosymbiont_cEper1_of_Encarsia_pergandiella	Mersacidin	1
Neisseria_sp._10023_strain_10023	Bacteriocin_IIc,ComC,ggmotif	3
Fusobacterium_hwasookii_ChDC_F174	ComC	1
Yersinia_sp._CFS1934	Bacteriocin_IIc	1
Actinobacillus_suis_strain_NCTC12996	Lactococcin_972	1
Escherichia_coli_UMNK88	Bacteriocin_IIc	1
Salmonella_enterica_subsp._enterica_serovar_Brancaster_strain_sg_ww281	Bacteriocin_IIc	1
Corynebacterium_diphtheriae_BH8	Bacteriocin_IId	1
Nostoc_linckia_NIES-25	Bacteriocin_IIc,Bacteriocin_IIi,ggmotif,L_biotic_typeA,Mersacidin	5
Burkholderia_pseudomallei_Pasteur_52237	Bacteriocin_IIc,Bacteriocin_IId,ggmotif	3
