Species	T6SS	Count
Mycobacterium_tuberculosis_PanR0402	TssL	1
Citrobacter_sp._Y3	TssD,TssE	2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20130347	TssD,TssE,TssG,TssM	4
Syntrophobotulus_glycolicus_DSM_8271	TssE	1
Rhizobium_binae_strain_BLR195	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Synechocystis_sp._PCC_6803_substr._GT-I	TssE	1
Clostridium_botulinum_B_str._Eklund_17B	TssB	1
Chitinophagaceae_bacterium_LGM1	TssL	1
Xanthomonas_hortorum_pv._vitians_strain_CFBP_498	TssE,TssM	2
Klebsiella_sp._MPUS7	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Chlamydia_psittaci_08DC60	TssC	1
Micromonosporaceae_bacterium_DSM_106523	TssL	1
Salmonella_enterica_subsp._diarizonae_serovar_61:k:1,5,(7)_strain_14-SA00836-0	TssD,TssE,TssF,TssG,TssJ,TssL,TssM	7
Dyadobacter_sp._NIV53	TssA,TssD,TssE,TssL	4
Lactobacillus_kefiri_strain_DH5	TssE	1
Bacillus_thuringiensis_serovar_thuringiensis_str._IS5056	TssD	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094301	TssA,TssD,TssE,TssG,TssM	5
Lelliottia_amnigena_A167	TssA,TssB,TssC,TssD,TssE,TssK,TssL	7
Xanthomonas_campestris_strain_17	TssB,TssE,TssM	3
Exiguobacterium_alkaliphilum_strain_B-3531D	TssL	1
Pectobacterium_polaris_QK413-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Halomonas_chromatireducens_strain_AGD_8-3	TssB,TssD,TssL	3
Salmonella_enterica_subsp._enterica_serovar_Tennessee_21-SA00318-0	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Rickettsiales_endosymbiont_of_Stachyamoeba_lipophora_strain_RICK01	TssB	1
Cardinium_endosymbiont_cEper1_of_Encarsia_pergandiella	TssE	1
Yersinia_sp._CFS1934	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_UMNK88	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Brancaster_strain_sg_ww281	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Nostoc_linckia_NIES-25	TssE	1
Aquimarina_sp._AD10	TssB,TssC,TssE,TssF,TssG,TssK	6
Citrobacter_sp._RHBSTW-00021	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL	10
Rhizobium_ruizarguesonis_TA1	TssG	1
Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._CFSAN000542_strain_SGSC_2240	TssD,TssE	2
Candidatus_Saccharibacteria_bacterium_47-87	TssL	1
Xylella_fastidiosa_9a5c	TssE	1
Prevotella_oris_strain_NCTC13071	TssB,TssC,TssE,TssF	4
Bacillus_thermoamylovorans_strain_SSBM	TssL	1
Burkholderia_sp._CCGE1003	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
